,colsample_bytree,eta,eval_metric,gamma,max_depth,objective,subsample,tree_method,scores_mae,scores_rmse
0,0.8363083529393841,0.12608850980568648,mae,0.9615739052538369,8,reg:linear,0.871250177893489,gpu_hist,3.3499553439441634,4.5174812006916065
1,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.914155788551844,gpu_hist,3.1139147600394033,4.171690994505779
2,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,3.2126950990383447,4.24110580004142
3,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.2898081312362955,4.601972680097373
4,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.180857265344033,4.31615441151015
5,0.6073896714381939,0.08907245581660149,mae,0.357339616285376,8,reg:linear,0.892402295661575,gpu_hist,3.297847696623188,4.345331285455237
6,0.5786557529365179,0.030528695004489216,mae,0.07531750240101309,9,reg:linear,0.9701605076353589,gpu_hist,3.244824868697387,4.305576225966368
7,0.8353189348090797,0.07101094271141385,mae,0.1289262976548533,6,reg:linear,0.8091132312827868,gpu_hist,3.4853873448371884,4.847959174610595
8,0.7063215299237193,0.15444666078707428,mae,0.2902201870074773,8,reg:linear,0.9587177020501374,gpu_hist,3.182515224915284,4.258191272036804
9,0.7842508219831559,0.0704764914908046,mae,0.3939119475404125,9,reg:linear,0.9265946458317066,gpu_hist,3.0669236479905932,4.212798057181362
10,0.8221257109825031,0.09789937078922971,mae,0.14139534536259213,7,reg:linear,0.7502252758312178,gpu_hist,3.089978244041373,4.129400250941248
11,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.220280555138221,4.452114290538132
12,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.2838135167818803,4.460927946454858
13,0.6073896714381939,0.08907245581660149,mae,0.357339616285376,8,reg:linear,0.892402295661575,gpu_hist,3.0868118149317225,4.259333689357663
14,0.5786557529365179,0.030528695004489216,mae,0.07531750240101309,9,reg:linear,0.9701605076353589,gpu_hist,3.2234901953990645,4.347033055031504
15,0.8353189348090797,0.07101094271141385,mae,0.1289262976548533,6,reg:linear,0.8091132312827868,gpu_hist,3.452060090654466,4.574942423106614
16,0.8252653687195268,0.07749238522378338,mae,0.3247125426353349,8,reg:linear,0.8518487228464295,gpu_hist,3.3391450364553013,4.68249349726602
17,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.914155788551844,gpu_hist,3.4050725818413956,4.472649946468992
18,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,2.8092139445084796,3.695014587062159
19,0.7956320654887754,0.07053001652135775,mae,0.782172384869658,9,reg:linear,0.9068297601184911,gpu_hist,3.1742335211497084,4.464173037970727
20,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.281538654927828,4.518249906196294
21,0.7527067752196984,0.04434116879353167,mae,0.2786521209480455,8,reg:linear,0.7484509247072934,gpu_hist,3.1680087970036723,4.290949438700953
22,0.6116618719228568,0.06349421072805687,mae,0.370601313904941,9,reg:linear,0.7216511959391813,gpu_hist,3.196757613255427,4.358203047792732
23,0.9882297325066979,0.14590884847783345,mae,0.9767610881903371,8,reg:linear,0.9217790738194904,gpu_hist,3.261985452908736,4.365219387285819
24,0.6015877121601333,0.03383497136629508,mae,0.053701191665621595,7,reg:linear,0.7634807174249806,gpu_hist,3.099953348229482,4.299539738105932
25,0.7842508219831559,0.0704764914908046,mae,0.3939119475404125,9,reg:linear,0.9265946458317066,gpu_hist,3.315524723449368,4.484046366665898
26,0.8221257109825031,0.09789937078922971,mae,0.14139534536259213,7,reg:linear,0.7502252758312178,gpu_hist,3.2405314664840694,4.520384010910715
27,0.7956320654887754,0.07053001652135775,mae,0.782172384869658,9,reg:linear,0.9068297601184911,gpu_hist,3.160393998307448,4.164651213905956
28,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.0542241636239567,4.257050973608278
29,0.7527067752196984,0.04434116879353167,mae,0.2786521209480455,8,reg:linear,0.7484509247072934,gpu_hist,3.082555059047846,4.191771831820365
30,0.5338678380137888,0.113258769804295,mae,0.6494342687800538,9,reg:linear,0.860832855700403,gpu_hist,3.1374428771390503,4.196714519848159
31,0.819960510663762,0.051572453348623454,mae,0.9446689170495839,7,reg:linear,0.8243985819971571,gpu_hist,3.1352153307107775,4.34769503586719
32,0.8252653687195268,0.07749238522378338,mae,0.3247125426353349,8,reg:linear,0.8518487228464295,gpu_hist,3.4121317939905023,4.65645242449993
33,0.7842508219831559,0.0704764914908046,mae,0.3939119475404125,9,reg:linear,0.9265946458317066,gpu_hist,3.1834812041979568,4.387536715684449
34,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,3.0313591043949133,4.06218310661779
