,colsample_bytree,eta,eval_metric,gamma,max_depth,objective,subsample,tree_method,scores_mae,scores_rmse
0,0.8252653687195268,0.07749238522378338,mae,0.3247125426353349,8,reg:linear,0.8518487228464295,gpu_hist,2.992382758289027,4.175443217489395
1,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.914155788551844,gpu_hist,2.870122533614819,3.965366316292826
2,0.9908816135788769,0.0929007151468946,mae,0.9795898385852042,9,reg:linear,0.8893201461373996,gpu_hist,3.042669590854645,4.070984466608029
3,0.7956320654887754,0.07053001652135775,mae,0.782172384869658,9,reg:linear,0.9068297601184911,gpu_hist,3.236225588963582,4.461919908721345
4,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.0192667316840245,4.1353131771219855
5,0.6633368674823119,0.12148766823959037,mae,0.47305681151662804,8,reg:linear,0.8166988303459431,gpu_hist,3.2014398194858633,4.2898009028923
6,0.6116618719228568,0.06349421072805687,mae,0.370601313904941,9,reg:linear,0.7216511959391813,gpu_hist,3.035101189484963,4.071742141358082
7,0.819960510663762,0.051572453348623454,mae,0.9446689170495839,7,reg:linear,0.8243985819971571,gpu_hist,3.2528877163300156,4.554335471335105
8,0.8252653687195268,0.07749238522378338,mae,0.3247125426353349,8,reg:linear,0.8518487228464295,gpu_hist,2.939892948425733,4.005111642997993
9,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.914155788551844,gpu_hist,2.874312670799402,3.878873700589539
10,0.9908816135788769,0.0929007151468946,mae,0.9795898385852042,9,reg:linear,0.8893201461373996,gpu_hist,2.9640611848399683,4.048416602410371
11,0.7956320654887754,0.07053001652135775,mae,0.782172384869658,9,reg:linear,0.9068297601184911,gpu_hist,3.1310667992004984,4.288744109989067
12,0.647469209459016,0.08403976476391463,mae,0.2205022738970106,9,reg:linear,0.7777380559708187,gpu_hist,3.0460676132532267,4.113493053839541
13,0.6073896714381939,0.08907245581660149,mae,0.357339616285376,8,reg:linear,0.892402295661575,gpu_hist,3.0216711022120255,4.142423780789972
14,0.8322512940263898,0.06668062673286003,mae,0.6006078393587848,9,reg:linear,0.9816052903699509,gpu_hist,3.124100840326456,4.266077302821541
15,0.8353189348090797,0.07101094271141385,mae,0.1289262976548533,6,reg:linear,0.8091132312827868,gpu_hist,3.22771660467964,4.42087680568321
16,0.8363083529393841,0.12608850980568648,mae,0.9615739052538369,8,reg:linear,0.871250177893489,gpu_hist,3.139012137629436,4.3905150133178585
17,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.914155788551844,gpu_hist,3.2041183246282428,4.3294736343766145
18,0.8221257109825031,0.09789937078922971,mae,0.14139534536259213,7,reg:linear,0.7502252758312178,gpu_hist,2.8077426258233875,3.7190380233825793
19,0.7956320654887754,0.07053001652135775,mae,0.782172384869658,9,reg:linear,0.9068297601184911,gpu_hist,3.1297601684056797,4.370098316096707
20,0.647469209459016,0.08403976476391463,mae,0.2205022738970106,9,reg:linear,0.7777380559708187,gpu_hist,3.066770442076987,4.271285953638593
21,0.6633368674823119,0.12148766823959037,mae,0.47305681151662804,8,reg:linear,0.8166988303459431,gpu_hist,2.9993166788724754,4.146091690211068
22,0.5786557529365179,0.030528695004489216,mae,0.07531750240101309,9,reg:linear,0.9701605076353589,gpu_hist,3.0320417355390696,4.229779970243113
23,0.819960510663762,0.051572453348623454,mae,0.9446689170495839,7,reg:linear,0.8243985819971571,gpu_hist,3.0271686318104085,4.031529710199186
24,0.8252653687195268,0.07749238522378338,mae,0.3247125426353349,8,reg:linear,0.8518487228464295,gpu_hist,3.0470653048625356,4.241022912910826
25,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.914155788551844,gpu_hist,3.181313523284497,4.39577037571244
26,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,3.1345384845366846,4.24941756270141
27,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.0437550713062285,4.024548826115057
28,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,2.782074934555934,3.9791642490394445
29,0.7527067752196984,0.04434116879353167,mae,0.2786521209480455,8,reg:linear,0.7484509247072934,gpu_hist,2.987932640185723,4.009067649478967
30,0.6116618719228568,0.06349421072805687,mae,0.370601313904941,9,reg:linear,0.7216511959391813,gpu_hist,3.0461289489927466,4.103685258758293
31,0.8353189348090797,0.07101094271141385,mae,0.1289262976548533,6,reg:linear,0.8091132312827868,gpu_hist,2.992422852864632,4.262765331253291
32,0.7063215299237193,0.15444666078707428,mae,0.2902201870074773,8,reg:linear,0.9587177020501374,gpu_hist,3.3727132265164297,4.502248898821556
33,0.7842508219831559,0.0704764914908046,mae,0.3939119475404125,9,reg:linear,0.9265946458317066,gpu_hist,3.063018357203557,4.2456067796203545
34,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,2.7963367633269387,3.736743144030888
