,colsample_bytree,eta,eval_metric,gamma,max_depth,objective,subsample,tree_method,scores_mae,scores_rmse
0,0.6015877121601333,0.03383497136629508,mae,0.053701191665621595,7,reg:linear,0.7634807174249806,gpu_hist,3.564388798588624,4.75998747394523
1,0.5481229225963368,0.029535413137202052,mae,0.033417781642979705,5,reg:linear,0.9313921381468129,gpu_hist,3.446420297219203,4.636769565412
2,0.753363005749785,0.02668390159874602,mae,0.6275799857910759,5,reg:linear,0.7393255449132109,gpu_hist,3.522885757204202,4.597249366521446
3,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.6258213807986333,4.829783394733096
4,0.7675273702487542,0.01687791700697578,mae,0.9057025474192305,6,reg:linear,0.8402671252286558,gpu_hist,3.425453217121271,4.620463286108183
5,0.7527067752196984,0.04434116879353167,mae,0.2786521209480455,8,reg:linear,0.7484509247072934,gpu_hist,3.656380979173754,4.762525781873003
6,0.5232655786279736,0.039666945707703606,mae,0.007143372862186914,6,reg:linear,0.8823042688440319,gpu_hist,3.4326951021597933,4.645838776274153
7,0.5435646498507704,0.01586333525769446,mae,0.832619845547938,8,reg:linear,0.9610036444740457,gpu_hist,3.6579056985378267,5.012542977709736
8,0.6015877121601333,0.03383497136629508,mae,0.053701191665621595,7,reg:linear,0.7634807174249806,gpu_hist,3.45745878804647,4.7175290697395535
9,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.914155788551844,gpu_hist,3.4692218812612388,4.542362820074044
10,0.8173214400340736,0.012632115165808932,mae,0.1970913158305082,9,reg:linear,0.7006988788601123,gpu_hist,3.5312280933184126,4.747699507845283
11,0.846839763502559,0.02789792784312367,mae,0.6666115972798587,7,reg:linear,0.7255331868753832,gpu_hist,3.5624362510901233,4.711849910983971
12,0.7675273702487542,0.01687791700697578,mae,0.9057025474192305,6,reg:linear,0.8402671252286558,gpu_hist,3.5618749615962684,4.774163923679185
13,0.7527067752196984,0.04434116879353167,mae,0.2786521209480455,8,reg:linear,0.7484509247072934,gpu_hist,3.473113991700686,4.722703811917773
14,0.5786557529365179,0.030528695004489216,mae,0.07531750240101309,9,reg:linear,0.9701605076353589,gpu_hist,3.577237487422502,4.797896046212269
15,0.819960510663762,0.051572453348623454,mae,0.9446689170495839,7,reg:linear,0.8243985819971571,gpu_hist,3.6327317624552857,4.8700519345768365
16,0.707835436996217,0.030558225907330726,mae,0.35490299081715815,7,reg:linear,0.8102136163499691,gpu_hist,3.4556673874268156,4.674202225907696
17,0.7842508219831559,0.0704764914908046,mae,0.3939119475404125,9,reg:linear,0.9265946458317066,gpu_hist,3.649344128737083,4.87461439240186
18,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,3.2421626487511848,4.14947498719
19,0.846839763502559,0.02789792784312367,mae,0.6666115972798587,7,reg:linear,0.7255331868753832,gpu_hist,3.5280129093757044,4.814858250708774
20,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.4705937048226043,4.805796499364344
21,0.7527067752196984,0.04434116879353167,mae,0.2786521209480455,8,reg:linear,0.7484509247072934,gpu_hist,3.457800346026054,4.497149785457367
22,0.5786557529365179,0.030528695004489216,mae,0.07531750240101309,9,reg:linear,0.9701605076353589,gpu_hist,3.644590402951607,4.913637636705989
23,0.5435646498507704,0.01586333525769446,mae,0.832619845547938,8,reg:linear,0.9610036444740457,gpu_hist,3.5366242554371174,4.719679318121356
24,0.8475836835126455,0.017804908152205895,mae,0.6509236659278755,9,reg:linear,0.9616748264642485,gpu_hist,3.3380948914344493,4.562305463525381
25,0.5481229225963368,0.029535413137202052,mae,0.033417781642979705,5,reg:linear,0.9313921381468129,gpu_hist,3.6795254529071006,4.859876657326961
26,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,3.427066569089889,4.694803775373475
27,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.5285027419933908,4.748088379420552
28,0.7675273702487542,0.01687791700697578,mae,0.9057025474192305,6,reg:linear,0.8402671252286558,gpu_hist,3.27716526557849,4.420740829111643
29,0.7527067752196984,0.04434116879353167,mae,0.2786521209480455,8,reg:linear,0.7484509247072934,gpu_hist,3.4658549151420597,4.61368914534857
30,0.7538164505958742,0.028678764348327015,mae,0.9946899633022496,8,reg:linear,0.9156530712284694,gpu_hist,3.4634949557620316,4.722486442535603
31,0.5435646498507704,0.01586333525769446,mae,0.832619845547938,8,reg:linear,0.9610036444740457,gpu_hist,3.394272561403421,4.771089626857698
32,0.6015877121601333,0.03383497136629508,mae,0.053701191665621595,7,reg:linear,0.7634807174249806,gpu_hist,3.6610904429289013,4.855520690072333
33,0.5481229225963368,0.029535413137202052,mae,0.033417781642979705,5,reg:linear,0.9313921381468129,gpu_hist,3.49757485798689,4.6149087346734525
34,0.6385530390491512,0.03841486617391577,mae,0.9304149025112907,7,reg:linear,0.9162065376751806,gpu_hist,3.3790234916393573,4.4956263465132595
